Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-05-14T17:00:00.000Z,4684.5,4689.1000976562,4684.5,4687.2001953125,1090,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T17:05:00.000Z,4687.3999023438,4688.8999023438,4686.1000976562,4686.2998046875,631,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T17:10:00.000Z,4686.2998046875,4687.6000976562,4684.5,4684.7001953125,477,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T17:15:00.000Z,4684.6000976562,4687.2998046875,4684.3999023438,4686.2998046875,537,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T17:20:00.000Z,4686.2001953125,4689.8999023438,4685.7998046875,4687.0,621,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T17:25:00.000Z,4686.8999023438,4688.6000976562,4683.0,4683.5,1230,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T17:30:00.000Z,4683.7001953125,4685.3999023438,4682.2998046875,4685.3999023438,751,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T17:35:00.000Z,4685.3999023438,4686.2998046875,4684.6000976562,4684.7998046875,745,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T17:40:00.000Z,4685.2001953125,4687.7998046875,4685.2001953125,4687.7001953125,626,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T17:45:00.000Z,4687.7998046875,4688.1000976562,4685.8999023438,4687.2001953125,367,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T17:50:00.000Z,4687.2998046875,4687.6000976562,4684.0,4684.5,419,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T17:55:00.000Z,4684.2001953125,4685.5,4683.7998046875,4684.3999023438,300,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:00:00.000Z,4684.5,4684.5,4674.6000976562,4676.1000976562,1885,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:05:00.000Z,4675.8999023438,4680.2001953125,4674.5,4678.2001953125,1075,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:10:00.000Z,4678.0,4680.8999023438,4677.2001953125,4680.6000976562,603,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:15:00.000Z,4680.5,4682.1000976562,4679.7001953125,4681.5,442,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:20:00.000Z,4681.7998046875,4682.5,4679.8999023438,4680.8999023438,563,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:25:00.000Z,4680.7998046875,4681.6000976562,4678.7001953125,4679.5,432,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:30:00.000Z,4679.5,4680.7998046875,4678.2998046875,4678.7001953125,610,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:35:00.000Z,4678.8999023438,4679.6000976562,4676.1000976562,4676.1000976562,661,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:40:00.000Z,4676.0,4677.8999023438,4674.2001953125,4674.2001953125,1034,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:45:00.000Z,4674.5,4675.7998046875,4672.2998046875,4675.2998046875,1142,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:50:00.000Z,4675.3999023438,4676.2001953125,4673.8999023438,4674.0,337,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T18:55:00.000Z,4673.8999023438,4677.8999023438,4673.7001953125,4677.2998046875,493,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:00:00.000Z,4677.5,4677.5,4673.6000976562,4674.5,619,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:05:00.000Z,4674.5,4675.0,4672.2998046875,4674.6000976562,821,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:10:00.000Z,4674.7998046875,4674.8999023438,4672.0,4672.8999023438,559,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:15:00.000Z,4672.8999023438,4673.7001953125,4670.0,4672.8999023438,1058,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:20:00.000Z,4672.8999023438,4674.7998046875,4672.2001953125,4673.2998046875,697,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:25:00.000Z,4673.2001953125,4674.6000976562,4667.8999023438,4668.7001953125,1291,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:30:00.000Z,4668.8999023438,4671.0,4666.5,4670.1000976562,1216,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:35:00.000Z,4670.2001953125,4670.2998046875,4664.2998046875,4665.0,1335,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:40:00.000Z,4664.7001953125,4666.2001953125,4661.0,4662.0,1742,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:45:00.000Z,4662.1000976562,4663.0,4658.0,4662.7001953125,1963,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:50:00.000Z,4662.2998046875,4664.2998046875,4661.0,4663.3999023438,884,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T19:55:00.000Z,4663.7001953125,4663.7001953125,4658.3999023438,4659.6000976562,1301,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:00:00.000Z,4659.7001953125,4662.7998046875,4654.2001953125,4654.8999023438,1525,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:05:00.000Z,4655.0,4657.2001953125,4654.2998046875,4656.7998046875,855,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:10:00.000Z,4657.1000976562,4657.7001953125,4654.3999023438,4654.8999023438,608,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:15:00.000Z,4654.7998046875,4656.2001953125,4653.2001953125,4654.6000976562,342,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:20:00.000Z,4654.2001953125,4656.0,4653.3999023438,4653.8999023438,295,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:25:00.000Z,4653.8999023438,4653.8999023438,4651.8999023438,4653.2001953125,572,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:30:00.000Z,4653.2001953125,4653.7001953125,4651.7001953125,4652.6000976562,419,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:35:00.000Z,4652.8999023438,4653.6000976562,4649.2998046875,4651.2001953125,949,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:40:00.000Z,4651.2001953125,4658.2998046875,4650.6000976562,4655.6000976562,865,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:45:00.000Z,4655.7998046875,4657.5,4655.1000976562,4655.2998046875,498,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:50:00.000Z,4655.3999023438,4656.2998046875,4654.2998046875,4656.1000976562,305,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T20:55:00.000Z,4656.0,4657.5,4655.2998046875,4655.2998046875,438,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:00:00.000Z,4655.3999023438,4660.7998046875,4650.1000976562,4657.0,0,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:05:00.000Z,4657.1000976562,4662.2998046875,4655.5,4660.2998046875,1231,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:10:00.000Z,4660.2998046875,4662.3999023438,4658.2998046875,4659.5,818,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:15:00.000Z,4659.6000976562,4663.6000976562,4659.2998046875,4663.2998046875,823,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:20:00.000Z,4663.2998046875,4663.5,4661.5,4661.8999023438,501,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:25:00.000Z,4661.7998046875,4663.5,4661.2001953125,4662.7001953125,431,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:30:00.000Z,4662.8999023438,4666.6000976562,4662.7001953125,4664.7001953125,952,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:35:00.000Z,4664.8999023438,4665.7998046875,4663.0,4664.7998046875,530,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:40:00.000Z,4664.7998046875,4666.7001953125,4664.2001953125,4666.2001953125,454,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:45:00.000Z,4666.2001953125,4666.3999023438,4665.0,4665.3999023438,360,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:50:00.000Z,4665.2001953125,4667.1000976562,4663.8999023438,4667.0,519,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T22:55:00.000Z,4666.7001953125,4667.1000976562,4666.1000976562,4666.7001953125,225,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:00:00.000Z,4666.6000976562,4667.7998046875,4665.1000976562,4667.7001953125,598,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:05:00.000Z,4667.6000976562,4667.7001953125,4665.0,4665.2998046875,306,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:10:00.000Z,4665.1000976562,4667.2998046875,4662.8999023438,4663.2998046875,854,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:15:00.000Z,4663.5,4664.6000976562,4660.0,4662.8999023438,1092,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:20:00.000Z,4662.8999023438,4663.6000976562,4659.6000976562,4662.2001953125,627,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:25:00.000Z,4662.2001953125,4669.0,4662.0,4668.2998046875,1217,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:30:00.000Z,4668.1000976562,4669.7998046875,4654.2998046875,4655.2001953125,2606,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:35:00.000Z,4655.2001953125,4657.7998046875,4650.6000976562,4657.2001953125,1448,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:40:00.000Z,4657.2998046875,4661.7998046875,4656.2998046875,4661.7998046875,764,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:45:00.000Z,4661.7998046875,4661.8999023438,4656.3999023438,4659.0,966,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:50:00.000Z,4658.7001953125,4659.5,4655.2001953125,4656.2998046875,809,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T23:55:00.000Z,4656.2998046875,4656.6000976562,4652.2001953125,4656.2998046875,1361,0.0,0.0,MGC=F,NA,NA,USD
2026-05-15T00:00:00.000Z,4656.5,4658.6000976562,4646.5,4653.6000976562,3222,0.0,0.0,MGC=F,NA,NA,USD
2026-05-15T00:05:00.000Z,4653.8999023438,4656.7001953125,4650.7001953125,4654.8999023438,1220,0.0,0.0,MGC=F,NA,NA,USD
